CANTON;A.1.1;A.1.2;A.1.3;A.1.4;A.1.5;A.1.6;A.1.7;A.1.8;A.1.9;A.1.10;A.1.11;A.2.1;A.2.2;A.2.3;A.2.4;A.2.5;B.3.1;B.3.2;B.3.3;B.3.4;B.3.5;B.4.1;B.4.2;B.4.3;B.4.4;B.4.5;C.5.2.;C.5a.1;C.5a.2;C.5a.3;C.5a.4;C.5a.5;C.5a.6;C.5a.7;C.5a.8;C.5a.9;C.5a.10;C.6.1.;C.6a.1;C.6a.2;C.6a.3;C.6a.4;C.6a.5;C.6a.6;C.7.1;C.7.2;C.7.3;C.7.4;C.7.5;C.7.6;C.7.7;C.8.1;C.8.2;C.8.3;C.8.4;C.8.5;C.8.6;C.9.1;C.9.2;C.9.3;K.31.1;K.31.2;K.31.3;K.31.4;K.31.5;K.31.6;K.31.7;K.31.8;K.31.9;K.31.10;K.31.11;K.31.12;K.31.13;K.31.14;K.31.15;K.31.16;K.31.17;K.31.18
PORTOVIEJO;1;1;1;5;2;1;1;1;1;5;1;1;1;1;1;1;1;3;1;4;1;1;1;1;1;1;2;1;1;1;1;4;4;1;1;1;2;2;1;1;1;1;1;1;1;1;4;4;4;1;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5
PORTOVIEJO;1;1;1;1;1;1;1;1;1;1;1;2;4;1;1;1;2;4;4;4;2;1;1;1;3;1;2;1;1;1;1;1;4;1;3;1;1;2;1;1;1;2;1;1;1;1;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;2;5;5;5;5;5
PORTOVIEJO;1;1;1;4;1;1;1;1;1;1;4;1;1;1;1;1;2;4;1;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;5;2;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;2;5;2;5;5;5;5;5
PORTOVIEJO;1;1;1;4;1;1;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;4;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;4;1;1;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
PORTOVIEJO;1;1;1;1;1;1;1;1;1;1;2;2;4;1;1;1;1;4;5;5;1;1;1;1;2;2;2;1;1;1;1;5;5;5;5;1;1;1;0;0;0;0;0;0;1;1;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5
PORTOVIEJO;1;1;1;4;1;1;1;1;1;1;1;1;2;1;1;1;4;4;1;4;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;2;1;2;1;2;2;2;1;1;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5
PORTOVIEJO;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;2;1;1;1;2;4;1;4;1;1;1;2;1;1;1;1;1;1;1;2;4;4;4;2;4;1;4;4;1;1;4;1;1;1;5;5;5;5;5;5;2;5;5;5;5;5;3;5;5;4;5;5
ROCAFUERTE;1;1;1;4;1;2;1;1;1;2;1;1;2;1;1;1;2;3;3;4;2;1;1;2;2;2;2;1;4;1;1;1;1;1;1;1;1;2;2;2;4;1;1;1;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;2;5;5;5;5;5
ROCAFUERTE;1;1;2;5;1;4;1;1;1;1;4;2;4;2;2;1;4;4;1;4;1;1;1;1;1;1;2;1;4;1;1;4;4;4;1;1;2;1;0;0;0;0;0;0;2;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;5;5;5;5
ROCAFUERTE;2;1;1;5;2;1;1;2;1;1;2;1;4;1;1;1;1;1;1;4;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;1;1;2;1;1;1;2;1;1;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;2;5;5
SUCRE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;1;1;1;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;1;1;1;1;1;1;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
SUCRE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;4;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;1;1;1;1;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
SUCRE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;4;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;5;5;5;1;1;5;1;1;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
SUCRE;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1;1;2;1;1;1;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1;5;5;5;1;5;1;1;1;1;2;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
ROCAFUERTE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;5;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;2;2;2;1;1;1;2;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
SUCRE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;4;1;1;1;1;1;2;1;1;1;1;1;1;5;1;5;4;1;5;1;5;5;5;1;5;1;1;1;1;2;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
SUCRE;1;1;1;4;1;1;1;1;1;1;1;1;4;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;4;1;4;1;1;1;1;1;1;4;4;1;4;5;5;5;2;5;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;1;2;5;5;5;5
ROCAFUERTE;1;1;2;2;1;1;1;1;1;1;2;1;4;1;1;1;1;4;1;4;1;2;2;2;2;2;2;1;1;1;1;4;2;4;1;1;2;2;2;2;1;2;2;1;2;2;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;2;5;5;5;5;5
ROCAFUERTE;1;1;1;4;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;1;1;1;1;1;2;2;2;2;2;4;4;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
PORTOVIEJO;1;1;1;4;1;5;1;1;1;4;1;1;3;1;1;1;4;4;1;4;1;1;1;1;1;1;2;1;1;1;1;2;2;2;1;1;2;2;1;1;1;1;1;1;2;1;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;4;4;4;4;4;4;5;5;5;5;5;5;4;4;4;4;4
PORTOVIEJO;1;1;1;4;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4;4;4;4;4;4;4;4;1;2;4;2;2;2;3;5;5;5;5;5;4;4;4;4;4;5;5;5;5;4;4;4
SUCRE;1;1;1;4;1;1;2;1;1;1;1;1;4;1;1;1;2;2;2;4;2;1;1;1;1;1;2;1;1;1;1;3;3;2;3;2;2;2;1;1;1;1;1;1;1;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;1;5;5;2;5;5
PORTOVIEJO;1;1;1;4;1;1;1;2;1;1;1;1;4;1;2;1;5;1;4;4;1;1;1;1;1;1;2;1;1;1;1;2;2;2;3;1;1;2;1;1;1;1;1;1;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;2;2;2;5;5;5;5;5
ROCAFUERTE;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;1;2;2;2;4;4;2;1;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;4;1;4;4;1;4;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
SUCRE;2;1;1;4;2;3;1;1;1;1;1;1;3;1;1;1;2;1;3;3;1;2;2;2;3;2;2;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;4;2;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;4;5;5;5;5
SUCRE;1;1;1;4;2;3;1;1;1;1;4;1;3;1;1;1;2;4;4;4;1;2;3;1;2;2;2;2;4;1;1;2;2;2;1;1;2;2;4;1;4;1;1;1;4;2;2;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;3;5;5;5;5;1;5;5;5;5;5
SUCRE;2;1;1;5;1;1;1;1;1;1;4;1;4;1;1;1;4;4;1;4;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;1;2;2;1;1;1;1;1;1;4;2;4;4;4;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5
ROCAFUERTE;1;1;1;2;1;4;1;1;1;2;4;1;2;1;1;1;3;3;2;4;2;1;1;1;1;1;2;1;1;1;1;4;3;4;2;1;2;2;4;2;4;2;2;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;2;4;4;4;4;4;1;4;4;4;4;4
ROCAFUERTE;1;1;1;4;2;1;1;1;1;1;1;1;3;1;1;1;1;4;1;4;2;1;1;1;1;1;2;1;3;1;1;1;1;1;1;2;1;2;2;2;3;2;2;2;2;2;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5
ROCAFUERTE;2;2;1;4;2;1;1;1;1;2;4;1;2;1;1;1;4;4;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;4;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
SUCRE;2;2;1;3;2;1;1;1;1;1;2;1;2;1;1;1;3;1;3;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;2;2;4;2;4;4;4;5;5;5;5;1;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
ROCAFUERTE;1;2;2;4;4;1;1;1;1;1;1;2;2;2;1;2;1;1;4;4;2;2;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;1;3;3;3;3;3;3;3;5;5;5;1;5;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
ROCAFUERTE;2;1;1;4;3;1;1;1;1;2;1;1;3;2;1;2;2;2;4;4;2;2;1;1;1;2;2;1;1;1;1;3;3;3;1;1;1;2;3;2;3;3;1;1;2;2;3;3;3;3;3;5;5;5;1;5;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;3;5;4;5;5;5
SUCRE;1;1;1;5;4;1;1;1;1;1;3;1;5;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;4;4;4;1;1;2;2;4;3;4;2;1;1;2;2;5;5;5;2;5;5;5;5;1;5;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5
SUCRE;1;1;1;4;4;1;1;1;1;1;2;1;2;2;2;2;1;4;4;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;2;4;4;4;4;4;4;5;5;5;1;5;5;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
ROCAFUERTE;2;1;1;5;3;1;1;1;1;2;5;1;2;2;1;2;4;1;4;4;1;1;1;1;1;1;2;1;4;1;1;4;1;4;1;1;2;2;4;2;5;2;1;1;2;2;5;5;5;5;5;5;5;5;1;5;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5
SUCRE;2;1;1;3;3;1;1;1;1;2;5;1;4;3;1;1;3;3;3;3;1;2;2;2;1;2;2;1;1;1;1;2;1;2;1;1;2;2;2;2;2;2;1;1;3;3;3;3;3;3;3;5;5;5;1;5;5;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
ROCAFUERTE;2;1;1;3;2;1;1;1;1;1;4;1;3;2;1;2;2;2;4;4;1;2;2;2;1;1;2;1;3;1;1;4;1;4;1;1;2;2;2;2;3;2;1;1;3;3;5;3;5;5;5;5;5;5;1;5;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5
ROCAFUERTE;1;1;1;4;2;1;1;1;1;2;4;1;1;1;1;1;1;2;4;4;1;1;1;1;1;1;2;1;1;1;1;4;4;4;1;1;1;2;4;1;4;2;2;1;1;4;4;1;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;2;1;1;1;1;4;1;4;1;1;1;2;4;1;4;2;2;1;4;1;4;1;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;1;1;1;4;2;2;1;1;1;2;4;2;4;1;1;1;1;1;4;4;1;1;1;1;1;1;2;1;1;1;1;4;1;4;1;1;1;2;4;1;4;2;1;2;1;1;1;4;4;1;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
PORTOVIEJO;1;1;1;1;1;1;1;1;1;2;4;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;2;1;1;1;1;4;1;4;1;1;2;2;4;1;4;2;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;1;2;1;4;1;1;1;1;1;4;2;2;4;1;1;1;4;1;4;4;1;2;2;1;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;4;1;1;4;1;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;2;1;1;2;2;1;1;1;1;2;4;1;2;1;1;1;4;1;4;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;2;4;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
SUCRE;1;1;1;4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;4;4;1;1;1;1;1;1;2;1;1;1;1;4;1;4;1;1;1;2;4;1;4;1;1;1;1;1;4;1;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
PORTOVIEJO;2;1;2;4;1;2;1;1;1;1;4;2;4;1;1;1;1;1;4;4;1;2;2;1;1;2;2;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;1;1;1;2;1;1;1;1;1;2;4;1;1;1;1;1;4;1;4;4;1;1;1;1;1;1;2;1;1;1;1;4;4;4;1;1;1;2;2;2;2;1;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
SUCRE;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;4;1;2;2;1;1;1;2;1;1;1;1;4;1;4;1;1;1;2;4;1;4;1;1;1;1;4;4;1;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;1;1;1;4;1;1;1;1;1;2;4;2;4;1;1;1;4;1;4;4;1;2;2;1;2;2;2;1;1;1;1;1;1;1;1;1;2;2;4;1;4;1;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4
SUCRE;2;2;1;4;1;2;1;1;1;2;4;1;1;1;1;1;2;1;4;4;1;1;1;1;1;1;2;1;1;1;1;2;1;4;1;1;2;2;2;1;2;1;1;1;1;1;4;4;4;1;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;1;1;1;4;1;1;1;1;1;2;4;1;4;1;1;1;4;1;1;4;1;1;1;1;1;1;2;1;1;1;1;4;1;4;1;1;2;2;4;1;4;1;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
SUCRE;2;1;1;4;2;1;1;1;1;2;4;1;4;1;1;1;4;1;1;4;1;2;2;1;1;2;2;1;4;1;1;4;4;4;1;1;2;2;4;2;2;2;2;2;1;1;1;4;4;1;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4
ROCAFUERTE;1;1;1;4;4;1;1;1;1;1;2;2;4;2;2;1;4;1;4;4;1;2;2;1;1;1;2;1;1;1;1;2;4;2;1;1;2;2;4;1;4;2;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
PORTOVIEJO;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;1;1;1;1;1;4;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
SUCRE;1;1;1;4;2;1;1;1;1;1;1;1;2;1;1;1;2;1;4;4;1;1;1;1;1;1;2;1;1;1;1;4;4;4;1;1;2;2;4;2;4;2;1;1;1;1;4;4;4;4;4;5;5;5;1;5;5;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
SUCRE;1;2;2;4;1;2;2;1;1;1;1;2;2;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;1;4;2;2;1;1;1;2;2;1;2;1;1;1;4;1;4;4;4;4;4;4;4;4;1;1;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;1;1;1;1;1;1;1;1;1;1;4;1;2;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;4;1;4;1;1;2;2;4;2;4;2;2;2;1;1;1;4;4;1;4;4;4;4;1;4;4;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;1;1;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;1;1;1;1;1;2;1;1;1;1;4;1;4;1;1;2;2;4;2;4;2;1;1;5;1;5;5;5;5;5;5;5;5;1;5;5;2;2;2;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4
ROCAFUERTE;1;1;1;4;4;2;1;1;1;1;5;1;1;1;1;1;1;1;3;3;2;1;1;1;1;1;2;1;1;1;1;3;1;3;1;1;2;2;3;1;3;2;1;1;2;2;4;4;4;4;4;5;5;5;5;5;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5
ROCAFUERTE;1;1;1;4;2;2;1;1;1;1;5;1;1;1;1;1;3;1;3;3;1;2;2;2;1;2;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;5;1;5;5;5;5;5;5;5;5;1;5;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
ROCAFUERTE;2;1;1;2;2;1;1;1;1;1;4;2;2;2;1;2;4;1;4;4;1;2;2;2;1;2;2;1;1;1;1;1;1;1;1;1;2;2;1;2;1;2;1;1;1;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
SUCRE;1;1;1;4;1;1;1;2;2;2;2;2;2;1;1;1;1;1;2;2;2;1;1;1;1;1;2;2;1;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;4;1;4;4;4;4;4;4;4;4;1;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
