E.12.1;E.12.2;E.12.3;E.12.4;E.12.5;E.12.6;E.12.7;E.12.8;E.13.1;E.13.2;E.13.3;E.13.4;E.13.5;E.13.6;E.13.7;E.14.1;E.14.2;E.14.3;E.14.4;E.14.5;E.14.6;E.15.1;E.15.2;E.15.3;E.15.4;E.15.5;E.15.6;E.15.7;E.15.8;F.16.1;F.17.1;F.17.2;F.17.3;F.17.4;F.17.5;F.17.6;F.17.7;F.18.1;F.18.2;F.18.3;F.18.4;F.18.5;G.19.1;G.19.2;G.19.3;G.19.4;G.19.5;G.19.6;G.20.1;G.20.2;G.20.3;G.20.4;G.20.5;G.20.6;G.20.7;G.20.8;G.20.9;G.20.10;G.20.11;G.21.1;G.21.2;G.21.3;G.21.4;G.21.5;G.21.6;I.27.1;I.27.2;I.27.3;I.27.4;I.27.5;I.27.6;I.28.1
4;4;4;4;4;4;2;4;4;4;4;4;1;4;1;2;4;4;2;2;2;1;1;2;1;1;1;4;4;48;2;2;2;2;2;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;4;1;1;4;4;4;4;4;4;1;1;2;1;2;2;2
5;5;5;5;5;5;5;5;1;5;3;5;1;3;1;5;5;1;1;5;5;1;1;1;1;1;2;3;3;48;1;1;1;1;1;2;3;3;2;3;4;4;1;1;1;1;1;1;1;1;1;1;2;1;4;2;4;1;1;5;5;5;5;5;5;1;1;2;4;2;5;1
5;5;5;5;5;5;5;5;2;2;2;3;1;3;3;2;5;2;1;4;4;1;1;1;1;1;1;3;3;48;1;1;1;1;1;2;3;2;1;2;3;3;1;1;2;2;1;1;2;2;2;2;2;2;4;2;4;1;1;5;5;5;5;5;5;1;1;1;5;1;1;2
5;5;5;5;5;5;5;5;5;5;2;4;5;5;5;3;1;5;4;1;3;1;1;1;1;1;1;4;5;56;1;1;1;3;1;1;1;3;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;2;2;1;5;5;5;5;5;5;1;1;5;5;1;4;2
5;5;5;5;5;5;5;5;3;1;3;3;1;4;3;5;5;5;1;5;5;1;3;1;1;1;1;3;1;48;1;1;1;1;1;1;3;3;2;3;3;3;1;1;1;1;1;1;2;2;2;1;1;1;3;4;3;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
5;5;5;5;5;5;5;5;3;1;3;3;1;5;1;5;5;5;1;5;2;1;4;1;1;1;1;4;5;56;2;2;2;2;3;2;3;3;2;3;4;3;1;1;1;1;1;1;1;2;2;1;1;1;4;3;3;3;1;5;5;5;5;5;5;2;1;3;4;1;4;1
4;5;5;5;5;5;5;5;1;1;1;1;1;3;1;2;3;1;1;1;1;1;4;1;1;1;2;2;2;50;1;1;1;1;3;2;3;3;1;3;3;3;1;1;1;1;1;1;2;2;2;1;1;1;5;4;4;1;1;5;5;5;5;5;5;2;1;2;4;2;4;2
2;2;2;2;4;4;2;4;2;2;2;2;2;4;2;2;2;4;2;2;4;1;1;1;1;1;1;4;4;50;2;2;2;2;2;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;4;1;1;5;5;5;5;4;5;1;1;1;4;1;4;2
5;5;4;5;5;5;5;5;2;2;4;2;2;4;5;2;4;5;5;5;2;1;1;1;1;1;1;4;4;60;4;1;1;5;1;1;4;2;2;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;4;1;1;5;5;5;5;5;5;1;1;1;5;1;5;2
4;4;4;4;4;4;4;4;2;2;4;2;2;4;4;2;4;5;5;5;2;1;1;1;1;1;1;4;4;64;2;2;2;2;2;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;5;5;5;5;5;5;1;1;1;4;1;4;2
2;4;2;4;4;4;4;4;4;1;4;4;4;4;5;2;2;5;4;4;2;1;1;1;1;1;1;2;4;50;1;1;1;1;1;1;5;5;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;5;1;4;1;1;5;5;5;5;5;5;1;1;1;1;1;2;2
5;5;4;5;3;3;5;4;4;4;2;2;1;4;2;2;4;5;5;5;5;1;1;1;1;1;1;3;4;66;1;1;1;4;1;1;1;3;2;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;4;1;1;5;5;5;5;5;5;1;1;1;5;1;4;2
1;1;1;2;2;2;4;4;1;1;1;1;1;2;5;1;1;2;4;1;2;1;1;1;1;1;1;2;2;48;1;1;1;4;1;1;1;4;2;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;5;1;4;1;1;5;5;5;5;5;5;1;1;1;5;1;5;2
5;5;5;5;5;5;5;5;2;5;5;2;1;2;2;2;2;5;4;5;5;1;1;1;1;1;1;1;1;50;1;1;1;4;1;1;1;2;2;4;5;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;4;1;1;5;5;5;5;5;5;1;1;1;5;1;4;2
5;5;5;5;5;5;5;5;3;2;3;4;1;3;2;5;5;2;1;5;5;1;3;1;1;1;1;3;3;48;1;1;1;1;3;1;3;2;2;3;4;4;1;1;1;1;1;1;1;2;2;1;1;1;4;2;4;1;1;5;5;5;5;5;5;2;4;4;3;2;4;2
5;5;5;5;5;5;5;5;2;2;3;3;1;3;2;3;4;1;1;4;3;1;3;1;1;1;2;3;3;48;1;1;1;1;1;2;4;3;2;3;3;3;1;1;2;1;2;1;1;1;1;1;2;2;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;3;3
2;4;2;4;4;2;4;4;2;2;4;2;2;4;4;2;4;4;2;1;2;1;1;1;1;1;1;4;4;66;2;2;2;4;2;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;2;1;5;5;5;5;5;5;1;1;1;1;1;2;2
5;5;2;2;5;5;5;5;1;1;2;2;1;3;4;1;2;1;1;2;4;1;4;1;1;1;1;2;3;48;1;1;1;1;1;1;2;2;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;2;2;1;1;5;5;5;5;5;5;1;1;1;4;1;3;2
5;4;3;4;5;5;5;5;3;5;5;5;1;4;3;4;4;4;4;4;4;1;1;1;1;1;1;3;4;48;2;2;2;2;2;2;4;2;2;4;5;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;4;1;1;5;5;5;5;5;5;1;1;1;5;1;4;2
4;5;2;5;5;5;5;5;1;1;1;1;1;4;4;2;3;4;1;1;1;1;3;1;1;1;1;3;3;40;2;2;2;3;3;2;3;2;1;2;3;3;1;1;1;1;1;1;1;1;1;1;1;1;5;4;4;1;1;5;5;5;5;5;5;2;1;2;4;2;4;2
1;2;3;5;5;5;5;5;3;2;2;3;1;1;1;5;5;1;1;1;1;1;2;1;1;1;1;3;1;48;1;1;1;1;1;2;3;1;1;4;4;3;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;1;1;5;5;5;5;5;5;1;1;1;5;1;5;2
4;4;4;4;4;4;4;4;2;2;2;2;2;2;4;2;2;2;2;2;2;1;1;1;1;1;1;1;1;56;2;2;2;2;2;2;2;1;3;3;3;3;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;5;5;4;5;2;5;1;1;1;1;1;1;1
2;2;5;5;5;5;5;5;1;1;1;2;1;4;3;3;3;1;1;3;2;1;3;1;1;1;1;2;1;50;2;2;2;2;1;1;3;5;4;4;4;5;1;1;1;1;1;1;2;2;2;2;2;2;4;4;4;1;1;5;5;5;5;5;5;2;1;2;4;1;4;2
2;2;5;5;5;5;5;5;2;1;2;3;1;4;1;3;3;1;1;3;3;1;3;1;1;1;1;3;4;48;1;1;1;1;3;1;2;2;2;3;4;3;1;1;1;1;1;1;1;2;2;1;1;2;4;3;4;2;1;5;5;5;5;5;5;1;1;2;4;1;3;2
5;5;5;5;5;5;5;5;3;2;4;2;1;4;1;4;5;1;1;5;5;1;3;1;1;1;1;4;4;50;2;2;2;2;2;4;4;3;2;3;3;3;1;1;1;1;1;1;2;2;3;1;1;1;5;4;4;1;1;5;5;5;5;5;5;2;1;5;5;1;4;2
5;5;5;5;5;5;5;5;3;4;3;4;1;3;1;5;5;5;1;4;5;1;3;1;1;1;1;4;4;48;1;1;1;1;1;1;3;4;3;3;4;3;1;1;1;1;1;1;2;2;3;1;2;1;5;4;4;1;1;5;5;5;5;5;5;2;1;2;4;1;4;2
5;5;5;5;5;5;5;5;3;3;3;3;1;4;1;5;5;5;1;4;5;1;3;1;1;1;1;3;4;48;1;1;1;1;1;2;2;3;2;4;4;4;1;1;1;1;1;1;2;2;2;1;1;1;5;2;3;1;1;5;5;5;5;5;5;2;1;2;4;1;4;1
5;5;5;5;5;5;5;5;2;2;4;4;1;4;4;5;5;1;1;5;5;1;2;1;1;1;1;4;4;48;1;1;1;2;2;1;4;4;2;3;4;4;1;1;1;1;1;1;1;2;2;1;2;2;4;4;4;1;1;5;5;5;5;5;5;1;1;1;4;1;4;2
2;2;5;5;5;5;5;5;3;3;3;3;1;4;1;5;5;1;1;5;3;1;3;2;1;1;1;4;4;48;1;1;1;1;1;1;4;3;3;4;4;4;1;1;2;2;3;2;1;2;3;1;2;1;4;4;4;1;1;5;5;5;5;5;5;1;1;4;4;1;3;2
5;5;5;5;5;5;5;5;4;3;4;4;1;4;1;5;5;2;1;5;5;1;3;2;1;1;2;4;4;48;1;1;1;1;2;1;3;3;3;4;4;4;1;2;2;2;2;2;1;2;3;2;2;2;4;4;4;1;1;5;5;5;5;5;5;1;1;1;3;1;5;2
5;5;5;5;5;5;5;5;3;3;3;2;1;4;2;5;5;1;1;5;5;1;3;2;1;1;1;4;4;48;1;1;1;2;3;1;3;4;3;4;4;4;1;1;1;1;1;1;1;2;3;1;2;2;3;3;2;1;1;5;5;5;5;5;5;1;1;3;4;1;5;2
5;5;2;5;5;5;5;5;3;4;3;2;1;3;1;5;5;1;1;5;5;1;4;1;1;1;2;4;5;48;1;1;1;2;3;1;3;3;3;3;4;4;1;2;2;3;2;1;2;2;1;2;1;4;4;4;4;2;1;5;5;5;5;5;5;1;1;3;4;1;3;2
2;2;5;5;5;5;5;5;3;3;3;3;1;4;4;5;4;1;1;4;4;1;3;1;1;1;2;3;4;48;1;1;1;1;2;1;4;4;3;3;3;3;1;1;1;1;1;1;1;2;3;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;4;4;2;3;2
5;5;3;5;5;5;5;5;2;3;2;3;1;4;4;3;4;1;1;5;5;1;4;1;1;1;1;3;4;48;1;1;1;2;3;1;3;3;3;4;4;4;1;3;2;2;3;2;1;2;2;2;2;2;4;3;2;1;1;5;5;5;5;5;5;1;1;1;4;1;3;2
2;2;5;5;5;5;5;5;2;1;2;1;1;4;4;5;5;1;1;5;5;1;3;1;1;1;2;4;4;48;1;1;1;2;2;1;3;4;2;3;3;3;1;1;1;1;1;1;1;1;2;1;1;1;3;4;4;1;1;5;5;5;5;5;5;1;1;4;4;1;5;2
3;4;5;5;5;5;5;5;3;5;2;2;1;4;4;5;5;1;1;5;3;1;3;1;1;1;1;3;4;48;1;1;1;2;3;1;3;4;3;3;4;4;1;1;1;1;1;1;2;2;2;1;2;1;4;3;2;1;1;5;5;5;5;5;5;1;1;3;4;2;5;2
5;5;5;5;5;5;5;5;3;3;4;3;1;3;1;4;4;1;1;5;3;1;2;1;1;1;1;4;4;48;1;1;1;1;2;1;4;4;3;4;4;4;1;1;1;1;1;1;1;2;2;1;2;2;4;2;4;1;1;5;5;5;5;5;5;1;1;1;4;1;4;2
5;5;2;2;5;5;5;5;2;4;2;2;1;4;1;3;2;1;1;3;3;1;4;1;1;1;1;2;3;48;1;1;1;2;4;1;2;2;3;2;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;1;1;5;5;5;5;5;5;1;1;4;4;1;4;2
5;5;5;5;2;2;5;2;2;3;3;3;1;4;1;3;3;1;1;3;3;1;4;1;1;1;1;4;4;48;1;1;1;1;4;1;2;2;2;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;1;1;5;5;5;5;5;5;1;1;1;4;1;4;2
5;5;5;5;5;5;5;5;2;2;2;4;1;4;1;4;5;1;1;5;5;1;4;1;1;1;1;4;3;48;1;1;1;1;2;1;4;4;2;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;1;1;5;5;5;5;5;5;1;1;1;4;1;4;2
2;4;5;5;5;5;5;5;2;5;5;2;1;2;4;4;5;1;1;5;2;1;4;1;2;1;2;2;2;52;1;1;1;2;4;1;2;2;2;2;3;3;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;1;1;5;5;5;5;5;5;1;1;1;4;1;2;2
5;5;5;5;5;5;5;5;4;2;4;4;1;3;2;5;5;1;1;5;5;1;2;1;2;2;2;3;4;48;1;1;1;2;4;1;2;2;2;2;3;4;1;1;1;1;2;2;2;2;2;1;2;2;4;2;4;1;1;5;5;5;5;5;5;1;1;1;4;1;4;2
5;5;5;5;5;5;5;5;3;2;4;4;1;4;1;5;5;1;1;5;5;1;3;1;1;1;1;4;4;48;1;1;1;2;4;1;2;4;3;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;1;4;1;4;2
5;5;5;5;5;5;5;5;2;2;4;2;1;4;2;5;5;1;1;5;5;1;4;1;1;1;1;4;4;48;1;1;1;2;2;1;4;3;2;3;4;4;1;1;1;1;2;1;1;1;1;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
5;5;5;5;5;5;5;5;4;2;2;4;1;4;1;5;5;1;1;5;5;1;4;1;1;1;1;4;4;48;1;1;1;1;2;1;4;4;2;4;4;4;1;1;1;1;1;1;1;2;2;1;2;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
2;2;4;5;5;5;5;5;2;2;4;3;1;4;1;3;4;1;1;5;5;1;3;1;1;1;1;2;3;48;1;1;1;2;4;1;2;2;2;2;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;1;1;5;5;5;5;5;5;1;1;1;4;1;2;2
5;5;5;5;5;5;5;5;5;2;4;4;1;4;1;5;5;1;1;5;5;1;4;1;1;1;1;2;3;48;1;1;1;1;4;1;2;2;2;2;4;4;1;1;1;1;1;1;1;2;2;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
2;5;5;5;5;5;5;5;4;3;4;2;1;4;1;5;5;1;1;5;5;1;2;1;1;1;2;4;4;48;1;1;1;2;4;1;2;4;2;4;4;4;1;1;1;1;1;1;1;2;1;1;1;1;4;2;4;1;1;5;5;5;5;5;5;1;1;1;4;1;4;2
5;5;3;5;5;5;5;5;2;2;2;3;1;4;1;5;5;1;1;2;5;1;2;1;1;1;1;4;5;48;1;1;1;2;2;1;4;4;2;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
4;4;2;5;5;5;5;5;1;1;2;1;1;4;4;2;2;1;1;4;5;1;5;1;1;1;1;4;5;56;2;2;2;2;4;1;2;2;2;2;4;4;1;1;1;1;2;2;1;1;1;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;2;2
2;2;4;5;5;5;5;5;2;1;2;1;1;4;2;4;5;1;1;4;4;1;2;1;1;1;2;4;4;48;1;1;1;2;2;1;4;4;2;4;4;4;1;2;1;1;2;1;1;1;2;1;1;1;4;4;2;1;1;5;5;5;5;5;5;1;1;1;4;1;2;2
1;4;2;4;4;4;4;4;2;4;4;1;1;4;4;2;2;4;2;4;2;1;1;1;1;1;1;1;1;52;2;2;2;2;2;2;2;2;2;2;4;4;1;1;1;1;1;1;1;1;1;2;2;2;4;2;4;2;1;5;5;5;5;5;5;2;1;4;1;1;4;2
5;5;5;5;5;5;5;5;2;2;4;2;1;4;4;4;4;1;1;4;4;1;2;1;1;1;1;2;4;56;1;2;2;2;2;1;4;4;2;4;4;4;1;1;1;1;2;1;1;1;1;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;2;2;4;4;1;1;1;1;1;1;4;4;56;2;2;2;4;2;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;2;1;5;5;5;5;5;5;2;1;1;1;1;4;2
5;5;5;5;5;5;5;5;2;2;2;4;1;4;2;4;4;1;1;4;4;1;2;1;1;1;1;2;4;52;2;2;2;2;4;1;2;2;2;4;4;4;1;1;1;1;1;1;1;1;1;1;2;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
4;4;5;5;5;5;5;5;2;2;2;2;1;4;4;4;4;1;1;4;5;1;4;1;1;1;1;4;4;48;1;1;1;2;4;1;4;2;2;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;2;3
5;5;5;5;5;5;5;5;3;2;3;3;1;1;4;5;5;1;1;5;5;1;3;1;1;1;1;3;3;48;1;1;1;2;3;1;4;4;3;3;4;4;1;3;1;1;3;1;1;1;1;1;1;1;3;4;4;1;1;5;5;5;5;5;5;1;1;4;4;1;4;2
5;1;5;5;5;2;5;5;4;4;3;4;1;4;2;5;5;1;1;5;5;1;3;1;1;1;1;3;4;48;1;1;1;2;3;1;3;4;2;3;4;4;1;1;1;1;2;1;1;1;1;1;1;1;3;4;2;1;1;5;5;5;5;5;5;1;1;3;4;1;5;2
5;5;5;5;5;5;5;5;3;2;3;4;1;4;1;4;5;1;1;5;5;1;2;1;1;1;1;3;2;48;1;1;1;2;2;1;4;3;2;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;1;1;5;5;5;5;5;5;1;1;4;4;2;4;2
4;4;4;4;4;4;4;4;4;2;4;4;1;4;4;4;4;4;1;4;4;1;1;1;1;1;1;4;4;52;2;2;2;2;1;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;2;2;5;5;5;5;5;5;2;1;1;4;1;4;2
5;4;5;5;5;5;5;5;2;1;2;2;1;4;4;5;5;1;1;5;5;1;4;1;1;1;1;2;4;52;1;2;2;2;4;1;2;2;2;4;4;4;1;1;1;1;2;2;1;1;2;1;1;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
5;5;2;5;5;5;5;5;2;4;2;2;1;2;4;2;4;1;1;3;5;1;4;1;1;1;1;2;3;48;1;1;1;2;4;1;2;2;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;2;1;5;5;5;5;5;5;1;1;1;4;1;2;2
5;5;5;5;5;5;5;5;2;2;3;2;1;4;2;3;3;1;1;4;3;1;4;1;1;1;1;2;3;48;1;1;1;2;4;1;1;3;2;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;1;1;5;5;5;5;5;5;1;1;2;4;1;2;3
5;5;5;5;5;5;5;5;4;2;4;4;1;3;2;5;5;1;1;5;5;1;2;1;2;1;1;3;4;48;1;1;1;2;2;1;4;4;2;3;4;4;1;1;1;1;2;1;1;2;2;1;2;1;4;4;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
5;5;5;5;5;5;5;5;3;2;4;5;1;4;2;4;4;1;1;4;5;1;4;1;1;1;2;2;4;48;1;1;1;2;4;1;2;2;2;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;2;1;5;5;5;5;5;5;1;1;2;4;1;4;2
5;5;5;5;5;5;5;5;4;2;4;4;1;4;2;5;5;1;1;5;5;1;1;1;1;1;1;4;5;48;1;1;1;1;4;1;2;4;2;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
5;5;5;5;5;5;5;5;4;4;4;4;1;4;2;5;5;1;1;5;5;1;3;1;1;1;1;3;4;48;1;1;1;1;2;1;3;3;2;3;3;3;1;2;1;2;2;1;2;2;2;1;2;2;5;2;2;1;1;5;5;5;5;5;5;1;2;2;4;1;4;1
4;4;5;5;5;5;5;5;3;1;3;3;1;4;3;5;5;1;1;5;5;1;3;1;1;1;1;3;1;48;1;1;1;1;1;2;3;3;2;3;4;4;1;1;1;1;1;1;2;2;2;1;1;1;4;3;4;1;1;5;5;5;5;5;5;2;1;3;4;1;3;2
5;5;5;5;5;5;5;5;3;1;3;4;1;1;3;5;5;5;1;5;5;1;4;1;1;1;1;3;3;48;1;1;1;1;2;4;3;2;3;4;4;1;1;1;1;1;1;1;1;2;1;1;1;1;5;3;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;3
2;5;5;5;5;5;5;5;2;4;3;3;1;3;1;3;3;5;1;5;2;1;4;1;1;1;1;3;3;52;3;1;3;2;3;1;3;3;2;3;4;3;1;1;1;1;1;1;2;1;1;1;1;1;4;2;2;1;1;5;5;5;5;5;5;2;1;2;4;1;4;2
2;2;2;2;4;4;4;4;2;2;2;2;1;4;4;2;2;4;2;2;2;2;1;1;1;1;1;4;4;52;1;1;1;1;1;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;1;1;5;5;5;5;5;5;1;1;1;4;2;4;2
5;5;2;5;5;5;5;5;1;1;2;1;1;4;2;4;4;1;1;3;2;1;2;1;1;1;1;2;4;52;2;1;2;2;4;1;2;4;2;2;4;4;1;1;1;1;2;2;1;1;2;1;2;1;4;2;4;1;1;5;5;5;5;5;5;1;1;2;4;1;4;2
